rank,finalWorth,category,personName,age,country,city,source,gender,title,population_country
405,6300,Manufacturing,Stef Wertheimer & family,96,Israel,Tel Aviv,Metalworking tools,M,,9053300
411,6200,Manufacturing,Ruan Xueping,51,China,Ningbo,Power strip,M,,1397715000
411,6200,Food & Beverage,Maria Asuncion Aramburuzabala & family,59,Mexico,Mexico City,"Beer, investments",F,,126014024
411,6200,Food & Beverage,Lin Muqin & family,59,China,Shenzhen,Beverages,M,,1397715000
411,6200,Manufacturing,Ruan Liping,59,China,Ningbo,Power strips,M,,1397715000
411,6200,Finance & Investments,Michal Solowow,60,Poland,Kielce,Investments,M,,37970874
411,6200,Diversified,Gustaf Douglas,85,Sweden,Stockholm,Investments,M,,10285453
411,6200,Service,Frits Goldschmeding,89,Netherlands,Amsterdam,Temp agency,M,,17332850
418,6100,Technology,Zhou Qunfei,53,Hong Kong,Hong Kong,Smartphone screens,F,Founder and CEO,
418,6100,Finance & Investments,Tom Gores,58,United States,Beverly Hills,Private equity,M,,328239523
418,6100,Telecom,Sunil Mittal,65,,,Telecom,M,,
418,6100,Diversified,Mike Adenuga,69,Nigeria,Lagos,"Telecom, oil",M,,200963599
418,6100,Fashion & Retail,Wolfgang Herz,72,Germany,Hamburg,Coffee,M,,83132799
418,6100,Fashion & Retail,Michael Herz,79,Germany,Hamburg,Coffee,M,,83132799
418,6100,Energy,Michael Kadoorie,81,Hong Kong,Hong Kong,"Hotels, energy",M,,
425,6000,Real Estate,Rene Benko,46,Austria,,"Real estate, retail",M,,8877067
425,6000,Technology,Jay Chaudhry,63,United States,Reno,Security software,M,,328239523
425,6000,Metals & Mining,Alexander Abramov,64,Russia,Moscow,"Steel, mining",M,,144373535
425,6000,Fashion & Retail,Gopikishan Damani,65,India,Mumbai,"Retail, investments",M,,1366417754
425,6000,Technology,David Steward,71,United States,St. Louis,IT provider,M,,328239523
425,6000,Fashion & Retail,Alain Bouchard,74,Canada,Montreal,Convinience stores,M,Chairman and CEO,36991981
425,6000,Finance & Investments,Michael Milken,76,United States,Los Angeles,Investments,M,,328239523
425,6000,Real Estate,Neil Bluhm,85,United States,Chicago,Real estate,M,,328239523
425,6000,Fashion & Retail,Les Wexner & family,85,United States,New Albany,Retail,M,,328239523
425,6000,Finance & Investments,Joe Lewis,86,Bahamas,Albany,Investments,M,,
425,6000,Diversified,Sumet Jiaravanon,88,Thailand,Bangkok,Diversified,M,,69625582
425,6000,Finance & Investments,Frank Lowy,92,Israel,Tel Aviv,Investments,M,,9053300
437,5900,Real Estate,Cai Kui,60,China,Chengdu,Real estate,M,,1397715000
437,5900,Finance & Investments,Andreas Halvorsen,61,United States,Darien,Hedge funds,M,Investor,328239523
437,5900,Finance & Investments,Antony Ressler,62,United States,Los Angeles,Finance,M,,328239523
437,5900,Food & Beverage,Tsai Eng-meng,66,China,Shanghai,"Food, beverages",M,,1397715000
437,5900,Diversified,Jaran Chiaravanont,93,Thailand,Bangkok,Diversified,M,,69625582
442,5800,Finance & Investments,Josh Harris,58,United States,Miami,Private equity,M,,328239523
442,5800,Healthcare,Patrick Soon-Shiong,70,United States,Los Angeles,Pharmaceuticals,M,,328239523
442,5800,Healthcare,Niels Peter Louis-Hansen,75,Denmark,Humlebaek,Medical devices,M,,5818553
445,5700,Finance & Investments,Daniel Ziff,51,United States,New York,Investments,M,,328239523
445,5700,Metals & Mining,Rinat Akhmetov,56,Ukraine,Donetsk,"Steel, coal",M,,44385155
445,5700,Finance & Investments,Robert Ziff,56,United States,New York,Investments,M,,328239523
445,5700,Finance & Investments,Dirk Ziff,59,United States,North Palm Beach,Investments,M,,328239523
445,5700,Real Estate,Fredrik Lundberg,71,Sweden,Stockholm,"Real estate, investments",M,,10285453
445,5700,Media & Entertainment,Clive Calder,76,Cayman Islands,Grand Cayman,Record label,M,,
445,5700,Construction & Engineering,Thomas Schmidheiny,77,Switzerland,Jona,Cement,M,,8574832
445,5700,Logistics,Helmut Sohmen,83,Hong Kong,Hong Kong,Shipping,M,,
445,5700,Healthcare,John Brown,88,United States,Atlanta,Medical equipment,M,,328239523
445,5700,Energy,Arthur Irving,93,Canada,Saint John,Oil,M,,36991981
455,5600,Logistics,Maria Angelicoussis,41,Greece,,Shipping,F,,10716322
455,5600,Gambling & Casinos,Teddy Sagi,51,Israel,Tel Aviv,Gambling software,M,,9053300
455,5600,Logistics,Lai Meisong,52,China,Shanghai,Package delivery,M,,1397715000
455,5600,Healthcare,Li Ge,56,China,Shanghai,Pharmaceutical ingredients,M,,1397715000
455,5600,Automotive,Wu Jianshu,59,China,Ningbo,Auto parts,M,,1397715000
455,5600,Finance & Investments,Karen Pritzker,65,United States,Branford,"Hotels, investments",F,,328239523
455,5600,Healthcare,Seo Jung-jin,65,South Korea,Seoul,Biotech,M,,51709098
455,5600,Service,Robert Rowling,69,United States,Dallas,"Hotels, investments",M,,328239523
455,5600,Energy,Ray Lee Hunt,79,United States,Dallas,"Oil, real estate",M,,328239523
455,5600,Automotive,Vikram Lal & family,81,India,Delhi,Motorcycles,M,,1366417754
455,5600,Finance & Investments,Ken Langone,87,United States,Sands Point,Investments,M,,328239523
466,5500,Technology,John Collison,32,United States,San Francisco,Payments software,M,Cofounder,328239523
466,5500,Technology,Patrick Collison,34,United States,San Francisco,Payment software,M,Cofounder,328239523
466,5500,Diversified,Zhao Yan,56,China,Beijing,Biotech,F,,1397715000
466,5500,Finance & Investments,Jean Salata,57,Hong Kong,Hong Kong,Finance,M,,
466,5500,Automotive,Dan Friedkin,58,United States,Houston,Toyota dealerships,M,owner and ceo,328239523
466,5500,Finance & Investments,Ludwig Merckle,58,Germany,Ulm,Pharmaceuticals,M,,83132799
466,5500,Media & Entertainment,James Chambers,65,United States,Palisades,"Media, automotive",M,,328239523
466,5500,Technology,Pierre Chen,66,Taiwan,Taipei,Electronics,M,,
466,5500,Manufacturing,Mitchell Rales,66,United States,Potomac,"Manufacturing, investments",M,,328239523
466,5500,Manufacturing,Jiang Weiping & family,68,China,Chengdu,Chemicals,M,,1397715000
466,5500,Technology,Richard White,68,Australia,Sydney,Software,M,,25766605
466,5500,Service,Micky Arison,73,United States,Bal Harbour,Carnival Cruises,M,Chairman and CEO,328239523
466,5500,Automotive,Piero Ferrari,77,Italy,Modena,Automobiles,M,,60297396
466,5500,Media & Entertainment,Katharine Rayner,78,United States,East Hampton,"Media, automotive",F,,328239523
466,5500,Finance & Investments,Paul Singer,78,United States,New York,Hedge funds,M,Investor,328239523
466,5500,Healthcare,Sergio Stevanato & family,80,Italy,Venice,Medical packaging,M,,60297396
466,5500,Media & Entertainment,Margaretta Taylor,80,United States,Southampton,"Media, automotive",F,,328239523
466,5500,Healthcare,Wolfgang Marguerre & family,81,Germany,Heidelberg,Pharmaceuticals,M,,83132799
466,5500,Manufacturing,Archie Aldis Emmerson & family,93,United States,Redding,"Timberland, lumber mills",M,,328239523
466,5500,Diversified,James Irving,95,Canada,Saint John,Diversified,M,,36991981
486,5400,Finance & Investments,Mat Ishbia,43,United States,Bloomfield Hills,Mortgage lender,M,,328239523
486,5400,Diversified,Miao Hangen,58,China,Suzhou,"Textiles, petrochemicals",M,,1397715000
486,5400,Fashion & Retail,Matthias Reimann-Andersen,58,Germany,Munich,Consumer goods,M,,83132799
486,5400,Fashion & Retail,Stefan Reimann-Andersen,59,Austria,Vienna,Consumer goods,M,,8877067
486,5400,Technology,Leo Koguan,68,Singapore,Singapore,IT provider,M,,5703569
486,5400,Fashion & Retail,Wolfgang Reimann,70,Germany,Passau,Consumer goods,M,,83132799
486,5400,Fashion & Retail,Renate Reimann-Haas,71,Austria,Vienna,Consumer goods,F,,8877067
486,5400,Fashion & Retail,Miuccia Prada,73,Italy,Milan,Luxury goods,F,"CEO, Fashion Designer",60297396
486,5400,Fashion & Retail,Patrizio Bertelli,77,Italy,Milan,Luxury goods,M,,60297396
486,5400,Manufacturing,Michael Pieper,77,Switzerland,Lucerne,Kitchen appliances,M,CEO of Artemis Group,8574832
486,5400,Manufacturing,Mahendra Choksi & family,81,India,Mumbai,Paints,M,,1366417754
497,5300,Finance & Investments,Todd Boehly,49,United States,Darien,Finance,M,,328239523
497,5300,Finance & Investments,Elizabeth Johnson,59,United States,Boston,Fidelity,F,,328239523
497,5300,Manufacturing,Ibrahim Erdemoglu,60,Turkey,Istanbul,Carpet,M,,83429615
497,5300,Finance & Investments,Mark Walter,62,United States,Chicago,"Finance, asset management",M,CEO,328239523
497,5300,Real Estate,Rick Caruso,64,United States,Los Angeles,Real estate,M,,328239523
497,5300,Finance & Investments,Douglas Leone,65,United States,Atherton,Venture capital,M,Global Managing Partner,328239523
497,5300,Fashion & Retail,M.A. Yusuff Ali,67,United Arab Emirates,Abu Dhabi,Retail,M,,9770529
497,5300,Finance & Investments,Thomas Pritzker,72,United States,Chicago,"Hotels, investments",M,Executive Chairman,328239523
497,5300,Food & Beverage,Erich Wesjohann & family,77,Germany,Visbek,Poultry genetics,M,,83132799
497,5300,Diversified,Prajogo Pangestu,78,Indonesia,Jakarta,Petrochemicals,M,,270203917
497,5300,Service,Gary Rollins,78,United States,Atlanta,Pest control,M,,328239523
497,5300,Food & Beverage,Lynda Resnick,80,United States,Beverly Hills,Agriculture,F,,328239523
497,5300,Manufacturing,Ronald Wanek,81,United States,Saint Petersburg,Furniture,M,,328239523
497,5300,Food & Beverage,Stewart Resnick,86,United States,Beverly Hills,Agriculture,M,,328239523
511,5200,Gambling & Casinos,Mark Scheinberg,49,United Kingdom,Isle of Man,Online gambling,M,,66834405
511,5200,Food & Beverage,Cheng Xue,53,China,Foshan,Soy sauce,F,,1397715000
511,5200,Finance & Investments,Alexandre Behring,56,United States,Greenwich,Investments,M,,328239523
511,5200,Real Estate,Robert Faith,59,United States,Charleston,Real estate management,M,,328239523
511,5200,Fashion & Retail,Gao Dekang & family,71,China,Changshu,Apparel,M,,1397715000
511,5200,Fashion & Retail,Micky Jagtiani,71,United Arab Emirates,Dubai,Retail,M,,9770529
511,5200,Technology,Barry Lam,73,Taiwan,Taipei,Electronics,M,,
511,5200,Technology,Charles Simonyi,74,United States,Medina,Microsoft,M,,328239523
511,5200,Real Estate,Ty Warner,78,United States,Oak Brook,"Plush toys, real estate",M,,328239523
511,5200,Real Estate,Sam Zell,81,United States,Chicago,"Real estate, private equity",M,,328239523
511,5200,Food & Beverage,"Robert Rich, Jr.",82,United States,Islamorada,Frozen foods,M,,328239523
511,5200,Telecom,Ananda Krishnan,85,Malaysia,Kuala Lumpur,"Telecoms, media, oil-services",M,,32447385
523,5100,Manufacturing,Fang Wei,49,China,Beijing,Steel,M,,1397715000
523,5100,Media & Entertainment,Kwon Hyuk-bin,49,South Korea,Seoul,Online games,M,,51709098
523,5100,Finance & Investments,Rekha Jhunjhunwala,59,India,Mumbai,Investments,F,,1366417754
523,5100,Finance & Investments,Sami Mnaymneh,61,United States,Miami Beach,Private equity,M,,328239523
523,5100,Logistics,Kjell Inge Rokke,64,Norway,Vettre,"Shipping, seafood",M,,5347896
523,5100,Finance & Investments,Tony Tamer,65,United States,New York,Private equity,M,,328239523
523,5100,Healthcare,Tse Ping & family,71,Hong Kong,Hong Kong,Pharmaceuticals,M,,
523,5100,Sports,Denise York & family,72,United States,Youngstown,San Francisco 49ers,F,Co-Chairman,328239523
523,5100,Technology,Romesh T. Wadhwani,75,United States,Palo Alto,Software,M,Founder and Chairman,328239523
523,5100,Healthcare,Hansjoerg Wyss,88,United States,Wilson,Medical devices,M,,328239523
523,5100,Finance & Investments,Charles B. Johnson,90,United States,Palm Beach,Franklin Templeton,M,Former Chairman and CEO,328239523
534,5000,Finance & Investments,Alexander Gerko,43,United Kingdom,London,Trading,M,,66834405
534,5000,Healthcare,Viktor Kharitonin,50,Russia,Moscow,Pharmaceuticals,M,,144373535
534,5000,Fashion & Retail,Jane Lauder,50,United States,New York,Estée Lauder,F,,328239523
534,5000,Healthcare,Dona Bertarelli,55,Switzerland,Gstaad,Biotech and investments,F,,8574832
534,5000,Telecom,"Robert Hale, Jr.",56,United States,Boston,Telecom,M,,328239523
534,5000,Technology,Kim Beom-su,57,South Korea,Seoul,Online services,M,,51709098
534,5000,Healthcare,Ugur Sahin,57,Germany,Mainz,Biotechnology,M,,83132799
534,5000,Healthcare,Thomas Straumann,59,Switzerland,Basel,Dental implants,M,,8574832
534,5000,Real Estate,Alexandra Schoerghuber & family,64,Germany,Munich,Real estate,F,,83132799
534,5000,Food & Beverage,Murat Ulker,64,Turkey,Istanbul,Food,M,,83429615
534,5000,Fashion & Retail,Chip Wilson,66,Canada,Vancouver,Lululemon,M,Chairman,36991981
534,5000,Technology,Martin Haefner,69,Switzerland,Zurich,"Software, investments",M,,8574832
534,5000,Energy,Robert Bass,75,United States,Fort Worth,"Oil, investments",M,,328239523
534,5000,Media & Entertainment,George Lucas,78,United States,San Anselmo,Star Wars,M,,328239523
534,5000,Finance & Investments,Ron Baron,79,United States,New York,Money management,M,,328239523
534,5000,Fashion & Retail,Michel Leclercq & family,83,France,Lille,Sporting goods,M,,67059887
534,5000,Sports,Janice McNair,86,United States,Houston,"Energy, sports",F,,328239523
534,5000,Real Estate,Zhu Yan & family,,China,Beijing,Real estate,F,,1397715000
552,4900,Fashion & Retail,Zhang Tao,50,China,Beijing,E-commerce,M,,1397715000
552,4900,Finance & Investments,Jonathan Gray,53,United States,New York,Investments,M,,328239523
552,4900,Sports,Dan Snyder,58,United States,Potomac,Washington Commanders,M,,328239523
552,4900,Diversified,Chairul Tanjung,60,Indonesia,Jakarta,Diversified,M,,270203917
552,4900,Finance & Investments,Bidzina Ivanishvili,67,Georgia,Tbilisi,Investments,M,,3720382
552,4900,Energy,Kelcy Warren,67,United States,Dallas,Pipelines,M,,328239523
552,4900,Healthcare,Murali Divi & family,72,India,Hyderabad,Pharmaceuticals,M,,1366417754
552,4900,Automotive,Mark Shoen,72,United States,Phoenix,U-Haul,M,,328239523
552,4900,Healthcare,Rudolf Maag,77,Switzerland,Binningen,Medical devices,M,,8574832
552,4900,Manufacturing,Jim Davis & family,79,United States,Newton,New Balance,M,Chairman,328239523
552,4900,Technology,Dagmar Dolby & family,81,United States,San Francisco,Dolby Laboratories,F,,328239523
552,4900,Service,Tom Golisano,81,United States,Naples,Payroll services,M,,328239523
552,4900,Food & Beverage,Emanuele (Lino) Saputo & family,86,Canada,Montreal,Cheese,M,Chairman,36991981
552,4900,Metals & Mining,Lim Hariyanto Wijaya Sarwono,94,Indonesia,Jakarta,"Palm oil, nickel mining",M,,270203917
552,4900,Technology,Marcos Galperin,,Argentina,Buenos Aires,E-commerce,M,,44938712
567,4800,Fashion & Retail,Tomasz Biernacki,50,Poland,"Krotoszyn,",Supermarkets,M,,37970874
567,4800,Fashion & Retail,Michael Ashley,58,United Kingdom,Hertfordshire,Sports retailing,M,,66834405
567,4800,Finance & Investments,Yu Yong,62,China,Shanghai,Mining,M,,1397715000
567,4800,Manufacturing,Winifred J. Marquart,63,United States,Virginia Beach,Cleaning products,F,,328239523
567,4800,Manufacturing,H. Fisk Johnson,64,United States,Racine,Cleaning products,M,,328239523
567,4800,Technology,Thai Lee,64,United States,Austin,IT provider,F,,328239523
567,4800,Manufacturing,Helen Johnson-Leipold,66,United States,Racine,Cleaning products,F,,328239523
567,4800,Manufacturing,S. Curtis Johnson,67,United States,Racine,Cleaning products,M,,328239523
567,4800,Technology,Vinod Khosla,68,United States,Portola Valley,Venture capital,M,Investor,328239523
567,4800,Fashion & Retail,Jimmy Haslam,69,United States,Knoxville,"Gas stations, retail",M,CEO,328239523
567,4800,Healthcare,Pankaj Patel,70,India,Ahmedabad,Pharmaceuticals,M,,1366417754
567,4800,Manufacturing,Horst Julius Pudwill,78,Hong Kong,Hong Kong,Manufacturing,M,,
567,4800,Healthcare,Bernard Broermann,79,Germany,Koenigstein,Hospitals,M,,83132799
580,4700,Manufacturing,Li Gaiteng,50,China,Shanghai,Hair dryers,M,,1397715000
580,4700,Media & Entertainment,Tim Sweeney,52,United States,Cary,Video games,M,,328239523
580,4700,Finance & Investments,Andre Esteves,54,Brazil,Sao paulo,Banking,M,,212559417
580,4700,Manufacturing,Ali Erdemoglu,63,Turkey,Istanbul,Carpet,M,,83429615
580,4700,Real Estate,Carlo Fidani,68,Canada,Toronto,Real estate,M,Chairman,36991981
580,4700,Media & Entertainment,Thomas Secunda,68,United States,Croton-on-Hudson,Bloomberg LP,M,,328239523
580,4700,Sports,Gayle Benson,76,United States,New Orleans,New Orleans Saints,F,,328239523
580,4700,Diversified,Zuowen Song,76,China,Longkou,"Aluminum, diversified",M,,1397715000
580,4700,Technology,Hong Ra-hee,77,South Korea,Seoul,Samsung,F,,51709098
580,4700,Technology,Jason Chang,78,Taiwan,Taipei,Electronics,M,,
580,4700,Diversified,Maria Fernanda Amorim & family,88,Portugal,Grijo,"Energy, investments",F,,10269417
591,4600,Manufacturing,Maximilian Viessmann,34,Germany,Battenberg,"Heating, cooling equipment",M,,83132799
591,4600,Media & Entertainment,Forrest Li,45,Singapore,Singapore,Gaming,M,,5703569
591,4600,Technology,Jack Dorsey,46,United States,San Francisco,"Twitter, Square",M,Cofounder,328239523
591,4600,Food & Beverage,Russ Weiner,52,United States,Delray Beach,Energy drinks,M,,328239523
591,4600,Manufacturing,Li Chunan,54,China,Fushun,Renewable energy,M,,1397715000
591,4600,Finance & Investments,"Andre Koo, Sr.",55,Taiwan,Taipei,Financial services,M,,
591,4600,Energy,Fan Hongwei,56,China,Wujiang,Petrochemicals,F,,1397715000
591,4600,Telecom,Richard Li,56,Hong Kong,Hong Kong,Telecom,M,,
591,4600,Food & Beverage,Bert Beveridge,61,United States,Austin,Vodka,M,,328239523
591,4600,Metals & Mining,Vladimir Kim,62,Kazakhstan,Almaty,Mining,M,,18513930
591,4600,Finance & Investments,Barry Sternlicht,62,United States,Miami,Private equity,M,,328239523
591,4600,Media & Entertainment,Mark Cuban,64,United States,Dallas,"Online media, Dallas Mavericks",M,Owner,328239523
591,4600,Fashion & Retail,Mark Meijer & family,65,United States,Grand Rapids,Supermarkets,M,,328239523
591,4600,Healthcare,Xue Min,66,China,Wuhan,Healthcare,M,,1397715000
591,4600,Fashion & Retail,Doug Meijer & family,69,United States,Grand Rapids,Supermarkets,M,,328239523
591,4600,Fashion & Retail,Hank Meijer & family,71,United States,Grand Rapids,Supermarkets,M,,328239523
591,4600,Logistics,Fred Smith,78,United States,Memphis,FedEx,M,Chairman and CEO,328239523
591,4600,Fashion & Retail,Ronald Lauder,79,United States,New York,Estee Lauder,M,,328239523
591,4600,Food & Beverage,Issad Rebrab & family,79,Algeria,Algiers,Food,M,,43053054
591,4600,Media & Entertainment,Charles Dolan & family,96,United States,Oyster Bay,Cable television,M,Chairman and Founder,328239523
